description,domain,weight
Greynoise Log4j Callback Servers,ldap://31.6.19.41:3574/1639263899,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:3964/1639265861,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:3615/1639377149,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:1623/1639260817,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:5465/1639262077,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:10460/1639378000,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:6441/1639378005,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:2525/1639266190,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:6128/1639375594,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:3293/1639375594,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:2652/1639257601,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:7952/1639259668,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:1827/1639257981,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:7168/1639314018,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:10773/1639314019,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:10329/1639289601,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:1939/1639270622,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:8698/1639287556,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:3738/1639323246,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:7626/1639323247,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:2324/1639298548,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:6010/1639298718,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:9731/1639281236,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:10117/1639295876,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:2666/1639296074,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:1194/1639295309,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:3871/1639288477,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:2601/1639267336,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:4019/1639270988,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:5201/1639297472,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:1419/1639283501,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:4186/1639269723,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:2175/1639336882,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:6399/1639336884,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:8322/1639295155,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:2242/1639333449,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:6228/1639333448,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:5545/1639273699,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:8835/1639282753,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:3733/1639280002,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:3284/1639276042,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:8639/1639304206,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:10269/1639285535,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:5606/1639291980,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:4599/1639348680,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:6682/1639348680,5
Greynoise Log4j Callback Servers,ldap://31.6.19.41:10362/1639280639,5
Greynoise Log4j Callback Servers,ldap://5463610592ef.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://ac47c63d0c2c.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://05a1253070c9.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://3e4a2d90c99b.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://8ff4814c2663.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://45a046dc35a2.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://0610f474074f.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://cbaf125bfe27.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://6158f89dd8de.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://c1e7bb4db028.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://6e5b1dd3f566.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://40b339b6168d.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://e2bcafb6432f.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://4ec05e773350.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://eef062010f17.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://29e3059e832c.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://2d99286c254b.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://40ad2f4bb07e.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://a0294c819682.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://92d27039ede4.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://80b53c62a6f4.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://200e0216df94.bingsearchlib.com:39356/a,5
